"","Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"88",520,"31/03/20","8:30 PM","Odisha","-","-",0,0,3
"89",528,"31/03/20","8:30 PM","West Bengal","-","-",0,2,26
"90",535,"01/04/20","7:30 PM","Chhattisgarh","-","-",2,0,9
"91",538,"01/04/20","7:30 PM","Gujarat","-","-",5,6,82
"92",542,"01/04/20","7:30 PM","Jharkhand","-","-",0,0,1
"93",546,"01/04/20","7:30 PM","Madhya Pradesh","-","-",0,3,66
"94",547,"01/04/20","7:30 PM","Maharashtra","-","-",39,9,302
"95",550,"01/04/20","7:30 PM","Odisha","-","-",0,0,4
"96",558,"01/04/20","7:30 PM","West Bengal","-","-",6,3,37
"97",564,"02/04/20","6:00 PM","Chhattisgarh","-","-",2,0,9
"98",567,"02/04/20","6:00 PM","Gujarat","-","-",8,7,87
"99",571,"02/04/20","6:00 PM","Jharkhand","-","-",0,0,1
"100",575,"02/04/20","6:00 PM","Madhya Pradesh","-","-",0,6,99
"101",576,"02/04/20","6:00 PM","Maharashtra","-","-",42,13,335
"102",579,"02/04/20","6:00 PM","Odisha","-","-",0,0,4
"103",587,"02/04/20","6:00 PM","West Bengal","-","-",6,3,53
"104",594,"03/04/20","6:00 PM","Chhattisgarh","-","-",3,0,9
"105",597,"03/04/20","6:00 PM","Gujarat","-","-",10,8,95
"106",601,"03/04/20","6:00 PM","Jharkhand","-","-",0,0,2
"107",605,"03/04/20","6:00 PM","Madhya Pradesh","-","-",0,6,104
"108",606,"03/04/20","6:00 PM","Maharashtra","-","-",42,16,335
"109",609,"03/04/20","6:00 PM","Odisha","-","-",0,0,5
"110",617,"03/04/20","6:00 PM","West Bengal","-","-",3,3,63
"111",625,"04/04/20","6:00 PM","Chhattisgarh","-","-",3,0,9
"112",628,"04/04/20","6:00 PM","Gujarat","-","-",14,10,105
"113",632,"04/04/20","6:00 PM","Jharkhand","-","-",0,0,2
"114",636,"04/04/20","6:00 PM","Madhya Pradesh","-","-",0,6,104
"115",637,"04/04/20","6:00 PM","Maharashtra","-","-",42,24,490
"116",640,"04/04/20","6:00 PM","Odisha","-","-",0,0,5
"117",648,"04/04/20","6:00 PM","West Bengal","-","-",3,3,69
"118",655,"05/04/20","6:00 PM","Chhattisgarh","-","-",3,0,9
"119",658,"05/04/20","6:00 PM","Gujarat","-","-",18,11,122
"120",662,"05/04/20","6:00 PM","Jharkhand","-","-",0,0,3
"121",666,"05/04/20","6:00 PM","Madhya Pradesh","-","-",0,9,165
"122",667,"05/04/20","6:00 PM","Maharashtra","-","-",42,24,490
"123",670,"05/04/20","6:00 PM","Odisha","-","-",0,0,20
"124",678,"05/04/20","6:00 PM","West Bengal","-","-",10,3,80
"125",685,"06/04/20","6:00 PM","Chhattisgarh","-","-",8,0,10
"126",688,"06/04/20","6:00 PM","Gujarat","-","-",22,12,144
"127",692,"06/04/20","6:00 PM","Jharkhand","-","-",0,0,4
"128",696,"06/04/20","6:00 PM","Madhya Pradesh","-","-",0,9,165
"129",697,"06/04/20","6:00 PM","Maharashtra","-","-",56,45,748
"130",700,"06/04/20","6:00 PM","Odisha","-","-",2,0,21
"131",708,"06/04/20","6:00 PM","West Bengal","-","-",10,3,80
"132",715,"07/04/20","6:00 PM","Chhattisgarh","-","-",9,0,10
"133",718,"07/04/20","6:00 PM","Gujarat","-","-",25,13,165
"134",722,"07/04/20","6:00 PM","Jharkhand","-","-",0,0,4
"135",726,"07/04/20","6:00 PM","Madhya Pradesh","-","-",0,13,229
"136",727,"07/04/20","6:00 PM","Maharashtra","-","-",56,48,868
"137",730,"07/04/20","6:00 PM","Odisha","-","-",2,1,42
"138",739,"07/04/20","6:00 PM","West Bengal","-","-",13,3,91
"139",746,"08/04/20","5:00 PM","Chhattisgarh","-","-",9,0,10
"140",749,"08/04/20","5:00 PM","Gujarat","-","-",25,13,165
"141",753,"08/04/20","5:00 PM","Jharkhand","-","-",0,0,4
"142",757,"08/04/20","5:00 PM","Madhya Pradesh","-","-",0,13,229
"143",758,"08/04/20","5:00 PM","Maharashtra","-","-",79,64,1018
"144",761,"08/04/20","5:00 PM","Odisha","-","-",2,1,42
"145",770,"08/04/20","5:00 PM","West Bengal","-","-",13,5,99
"146",777,"09/04/20","5:00 PM","Chhattisgarh","-","-",9,0,10
